LifeExp,Developed,Mortality,BMI,Alcohol,Polio,HIV,GDP,IDHComp,School,InfDeaths,Population
65,No,263,19.1,0.01,6,0.1,584.25921,0.479,10.1,62,33.736494
59.9,No,271,18.6,0.01,58,0.1,612.696514,0.476,10,64,0.327582
59.9,No,268,18.1,0.01,62,0.1,631.744976,0.47,9.9,66,31.731688
59.5,No,272,17.6,0.01,67,0.1,669.959,0.463,9.8,69,3.696958
59.2,No,275,17.2,0.01,68,0.1,63.537231,0.454,9.5,71,2.978599
58.8,No,279,16.7,0.01,66,0.1,553.32894,0.448,9.2,74,2.883167
58.6,No,281,16.2,0.01,63,0.1,445.8932979,0.434,8.9,77,0.284331
58.1,No,287,15.7,0.03,64,0.1,373.3611163,0.433,8.7,80,2.729431
57.5,No,295,15.2,0.02,63,0.1,369.835796,0.415,8.4,82,26.616792
57.3,No,295,14.7,0.03,58,0.1,272.56377,0.405,8.1,84,2.589345
57.3,No,291,14.2,0.02,58,0.1,25.2941299,0.396,7.9,85,0.257798
57,No,293,13.8,0.02,5,0.1,219.1413528,0.381,6.8,87,24.118979
56.7,No,295,13.4,0.01,41,0.1,198.7285436,0.373,6.5,87,2.364851
56.2,No,3,13,0.01,36,0.1,187.84595,0.341,6.2,88,21.979923
55.3,No,316,12.6,0.01,35,0.1,117.49698,0.34,5.9,88,2.966463
54.8,No,321,12.2,0.01,24,0.1,114.56,0.338,5.5,88,0.293756
77.8,No,74,58,4.6,99,0.1,3954.22783,0.762,14.2,0,0.028873
77.5,No,8,57.2,4.51,98,0.1,4575.763787,0.761,14.2,0,0.288914
77.2,No,84,56.5,4.76,99,0.1,4414.72314,0.759,14.2,0,0.289592
76.9,No,86,55.8,5.14,99,0.1,4247.61438,0.752,14.2,0,0.002941
76.6,No,88,55.1,5.37,99,0.1,4437.17868,0.738,13.3,0,0.295195
76.2,No,91,54.3,5.28,99,0.1,494.358832,0.725,12.5,1,0.291321
76.1,No,91,53.5,5.79,98,0.1,4114.136545,0.721,12.2,1,2.927519
75.3,No,1,52.6,5.61,99,0.1,437.539647,0.713,12,1,2.947314
75.9,No,9,51.7,5.58,99,0.1,363.13685,0.703,11.6,1,0.029717
74.2,No,99,5.8,5.31,97,0.1,35.1293,0.696,11.4,1,2.992547
73.5,No,15,49.9,5.16,97,0.1,279.142931,0.685,10.8,1,0.311487
73,No,17,48.9,4.54,98,0.1,2416.588235,0.681,10.9,1,0.326939
72.8,No,18,47.9,4.29,97,0.1,189.681557,0.674,10.7,1,0.339616
73.3,No,15,46.9,3.73,98,0.1,1453.642777,0.67,10.7,1,0.003511
